Product,Units Sold,Revenue
Webcam,138,7568
Monitor,109,7027
USB Drive,63,7695
Headphones,58,20422
Webcam,139,10258
Microphone,102,11736
Keyboard,179,5391
Webcam,133,18986
USB Drive,141,17666
Headphones,160,10892
Monitor,57,8561
USB Drive,84,11184
USB Drive,130,24483
Keyboard,99,13392
Printer,153,18067
Headphones,181,20265
Mouse,51,24488
USB Drive,183,7454
Printer,103,16837
Mouse,155,19039
Headphones,53,24115
Laptop,103,15965
Microphone,195,14762
Printer,93,10056
Speaker,63,19948
Laptop,144,13110
Microphone,97,18773
Keyboard,64,22412
Webcam,89,5502
Monitor,131,11910
Speaker,160,17685
Keyboard,102,5206
Headphones,73,22868
Keyboard,173,20934
Webcam,90,22247
Headphones,64,24174
Speaker,94,13755
Webcam,114,17383
Mouse,138,23141
Monitor,120,19820
