Product,Units Sold,Revenue
Laptop,199,46582
Mouse,69,20294
Keyboard,169,20187
Monitor,224,59094
Headphones,109,88238
Printer,277,77762
Webcam,40,17349
USB Drive,74,23697
Speaker,132,44793
Microphone,250,99443
Laptop,131,97452
Mouse,214,87053
Keyboard,221,33498
Monitor,251,31412
Headphones,254,42276
Printer,212,57212
Webcam,205,35371
USB Drive,101,65016
Speaker,264,38048
Microphone,208,49470
Laptop,186,9644
Mouse,262,15068
Keyboard,180,55518
Monitor,276,57430
Headphones,203,68549
Printer,156,46674
Webcam,267,51094
USB Drive,228,73833
Speaker,97,18158
Microphone,84,67501
Laptop,176,12775
Mouse,256,58027
Keyboard,286,99523
Monitor,273,32796
Headphones,147,64122
Printer,237,73903
Webcam,195,37971
USB Drive,158,86259
Speaker,270,10922
Microphone,106,44532
Laptop,66,29680
Mouse,198,10222
Keyboard,256,42986
Monitor,282,77728
Headphones,50,49350
Printer,100,84917
Webcam,68,41339
USB Drive,189,73723
Speaker,218,64694
Microphone,170,66414
Laptop,210,75530
Mouse,95,92148
Keyboard,264,92618
Monitor,173,21293
Headphones,73,38947
Printer,260,11009
Webcam,163,71774
USB Drive,214,99236
Speaker,98,79684
Microphone,177,47858
Laptop,35,64011
Mouse,128,34642
Keyboard,95,35031
Monitor,108,85075
Headphones,57,59868
Printer,208,11729
Webcam,197,17077
USB Drive,296,46816
Speaker,26,70788
Microphone,329,36633
Laptop,280,33755
Mouse,272,7698
Keyboard,190,72173
Monitor,289,30950
Headphones,176,43331
Printer,161,54425
Webcam,80,13935
USB Drive,257,66746
Speaker,91,18349
Microphone,143,11117
Laptop,261,79501
Mouse,252,36375
Keyboard,86,25291
Monitor,123,14531
Headphones,130,62838
Printer,217,98443
Webcam,170,8027
USB Drive,254,47849
Speaker,166,14323
Microphone,178,12440
Laptop,274,34091
Mouse,105,69084
Keyboard,84,33392
Monitor,175,37322
Headphones,235,64658
Printer,269,72786
Webcam,196,30059
USB Drive,94,33020
Speaker,59,67378
Microphone,230,46643
